"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"HCC_ShH.216372",-5271074.19152567,47908.99728061,-9029.34742045097,-5165.37105415333,-2464.07813404319,-1292.82842370074,148.590857243325,-2476.00079036842,-1812.05652804228,-654.532918557534,-1207.333753127,-800.960438354314,117.13211602629,-834.38503167959,88.0412842187015,464.383971435494,426.230616560433,-569.02412198863,597.509605832031,871.422413078512
"HCC_ShH.216383",-5153324.39207908,11743.9364192996,16507.0534817812,-9204.37252368167,6640.97522900065,-2688.92604984822,-3687.27318899425,-3289.22824695641,-2405.05203554738,-618.429069462003,-956.788008206533,-888.176994630967,-351.524925736957,-518.96556227031,281.094826870892,327.434836066489,-60.0084208472746,576.053197089416,452.643167740965,191.098606856326
"HCC_ShH.216386",-5142437.75087265,8731.48080003351,-3777.26607566055,-2229.90220128396,801.214651198278,-1238.60665751087,-5543.8914791696,-6160.28895878622,-5864.90584867736,-3732.02793126433,777.182377534592,-541.220938030605,-1017.2077773408,854.627251660142,-273.241634524771,1212.96365298104,557.142075458992,739.891457243702,-221.189342246742,910.925648634
"HCC_ShH.216387",-5202241.11689767,14402.1016731943,2454.63985957887,-7826.47369234455,2892.2080484911,476.582461860954,-4446.0152225336,-7075.60303540339,-4765.88312252875,-2243.31175006712,-32.8042469796006,-1206.18211325536,-71.0137535046418,-162.237222623946,-246.286217244902,1092.19018248607,203.598271740301,611.08527453523,501.867088543974,692.598260315908
"HCC_ShH.216390",-5256469.65383501,54895.9388026085,12828.7644492033,-5433.90181175196,3788.70290115659,-3115.50261626535,-1160.36227315148,831.531753025596,1658.85437536776,397.642363326956,-196.472203190718,-769.862044928072,306.99488743552,919.083913604221,1355.32460981689,1788.03831890708,-127.571728512189,546.412174395102,734.978938196035,400.254364359948
"HCC_ShH.216393",-5197668.34748896,11674.0409309307,6571.43483387493,3418.7793864138,-856.67439133993,-2216.75930452048,-3916.6587846039,-2756.77751633038,-4941.2963791739,-1754.0697822498,-1457.41190766623,-1576.39172611755,-1057.80281639315,229.892655001713,399.130626106296,307.980164960207,180.489011312512,20.1699724298842,-8.85683236814089,628.54945383034
"HCC_ShH.216398",-5323059.22573167,25505.0767845165,35775.2605518774,1355.33717610712,2415.62608568153,-7282.56801268106,-1434.66149554318,307.091528946704,3603.29594605524,1610.42966907454,-2436.29001867699,-369.316357831925,-621.701474108811,-509.715198276976,828.581257606909,396.816623579333,-178.918842199959,-194.411636578655,1100.68172506993,-148.022410602683
"HCC_ShH.216435",-5267208.98164697,64467.1697331247,-5608.56392066727,-2446.51234760503,1574.48037474741,5283.71268731984,-4824.60800128107,321.704998980195,-6078.20725495577,-2403.42783659492,-612.945818981865,-1.9282859791397,-502.501024527804,-809.213303418087,130.463701428368,-60.6042880417965,75.3629970685635,115.820343698263,603.590611458355,925.292495673442
"HCC_ShH.216447",-5261945.47682292,33701.1175283704,34985.8612762442,6727.21812950356,-909.974812225194,-4533.55777689527,597.689171063779,1022.4241272909,977.846799010464,2650.65346415562,-1037.00247142136,-1322.27204884471,548.966879640992,-1494.5282545677,2158.92412782839,672.660364922518,415.418470933113,-111.08833157974,1532.43202845142,-422.738963108342
"HCC_ShH.216450",-5084783.65616566,6209.48562231606,26200.9264361415,-12130.8831443639,12134.0808959593,-877.267223720735,-5241.59492005634,-1052.51716850364,-4123.67411849608,-295.999715518232,-65.480041297845,-1038.53617799078,-136.204196629131,261.511260808335,144.647894792713,438.396341860503,142.691649142104,658.042310766882,413.104394595638,294.767000352137
"HCC_ShH.216469",-4784334.58172688,12346.9571800398,-14816.5365629349,16045.7237519381,-4976.57275397057,-8698.63060835955,-5570.12512051566,-1183.26296547866,-5337.92594812581,-1845.09595539169,-4655.88490028359,-5360.28063837407,1761.5906875252,881.935514978009,-773.152308469835,4475.09054415623,562.291138564633,-1866.5092654231,-11185.4131604692,-14868.8741325614
